ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
708746,17/08/2017,17/08/2017,916,103916,30-34,M,15,17,17,7350.0,1,1.429999948,2.0,1.0
708749,17/08/2017,17/08/2017,916,103917,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0
708771,17/08/2017,17/08/2017,916,103920,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0
708815,30/08/2017,30/08/2017,916,103928,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0
708818,17/08/2017,17/08/2017,916,103928,30-34,M,28,33,32,4133.0,1,1.289999962,1.0,1.0
708820,17/08/2017,17/08/2017,916,103929,30-34,M,29,30,30,1915.0,0,0.0,1.0,1.0
708889,17/08/2017,17/08/2017,916,103940,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0
708895,17/08/2017,17/08/2017,916,103941,30-34,M,16,20,18,10951.0,1,1.269999981,1.0,1.0
708953,17/08/2017,17/08/2017,916,103951,30-34,M,27,31,31,2355.0,1,1.5,1.0,0.0
708958,30/08/2017,30/08/2017,916,103952,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0
708979,30/08/2017,30/08/2017,916,103955,30-34,M,31,37,34,1224.0,0,0.0,1.0,0.0
709023,29/08/2017,29/08/2017,916,103962,30-34,M,7,8,8,735.0,0,0.0,1.0,0.0
709038,29/08/2017,29/08/2017,916,103965,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0
709040,29/08/2017,29/08/2017,916,103965,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0
709059,30/08/2017,30/08/2017,916,103968,30-34,M,20,26,23,14669.0,7,10.28000021,1.0,1.0
709105,30/08/2017,30/08/2017,916,103976,30-34,M,28,30,32,1241.0,0,0.0,1.0,1.0
709115,30/08/2017,30/08/2017,916,103978,30-34,M,30,34,31,2305.0,1,0.569999993,1.0,0.0
709124,30/08/2017,30/08/2017,916,103979,30-34,M,31,34,33,1024.0,0,0.0,1.0,1.0
709179,30/08/2017,30/08/2017,916,103988,35-39,M,15,16,17,4627.0,1,1.690000057,1.0,0.0
709183,30/08/2017,30/08/2017,916,103989,35-39,M,16,20,22,21026.0,4,4.630000114,2.0,1.0
709320,17/08/2017,17/08/2017,916,104012,35-39,M,15,21,20,1422.0,0,0.0,1.0,1.0
709323,17/08/2017,17/08/2017,916,104012,35-39,M,15,17,19,7132.0,2,2.609999895,1.0,0.0
709326,18/08/2017,18/08/2017,916,104013,35-39,M,16,22,22,12190.0,2,3.049999952,1.0,0.0
709327,18/08/2017,18/08/2017,916,104013,35-39,M,16,22,20,12193.0,2,3.059999943,1.0,1.0
709328,18/08/2017,18/08/2017,916,104013,35-39,M,16,19,18,3332.0,0,0.0,1.0,1.0
709455,18/08/2017,18/08/2017,916,104034,35-39,M,7,12,10,559.0,0,0.0,1.0,0.0
709544,18/08/2017,18/08/2017,916,104049,35-39,M,29,33,32,7440.0,2,2.980000019,1.0,1.0
709614,19/08/2017,19/08/2017,916,104061,40-44,M,16,19,20,19113.0,4,5.5200001,1.0,0.0
709756,19/08/2017,19/08/2017,916,104085,40-44,M,16,21,21,10976.0,2,1.690000057,1.0,1.0
709761,18/08/2017,18/08/2017,916,104085,40-44,M,16,19,20,2861.0,0,0.0,1.0,0.0
709899,18/08/2017,18/08/2017,916,104108,40-44,M,15,18,20,1398.0,0,0.0,1.0,1.0
709901,18/08/2017,18/08/2017,916,104109,40-44,M,16,18,20,23817.0,7,8.470000148,1.0,1.0
710045,17/08/2017,17/08/2017,916,104133,45-49,M,16,22,17,47224.0,12,15.82000017,1.0,0.0
710088,17/08/2017,17/08/2017,916,104140,45-49,M,24,26,27,2283.0,1,1.470000029,1.0,0.0
710360,17/08/2017,17/08/2017,916,104185,45-49,M,21,26,24,2182.0,1,1.529999971,1.0,1.0
710477,17/08/2017,17/08/2017,916,104205,30-34,F,16,19,19,2654.0,0,0.0,1.0,1.0
710480,17/08/2017,17/08/2017,916,104205,30-34,F,16,21,20,57665.0,14,18.06999969,1.0,1.0
710571,18/08/2017,18/08/2017,916,104220,30-34,F,32,37,38,3091.0,1,1.610000014,1.0,1.0
710617,18/08/2017,18/08/2017,916,104228,30-34,F,15,19,16,5014.0,1,1.190000057,1.0,0.0
710623,18/08/2017,18/08/2017,916,104229,30-34,F,16,19,20,38726.0,7,9.220000267,1.0,0.0
710628,17/08/2017,17/08/2017,916,104230,30-34,F,18,24,22,1473.0,0,0.0,1.0,0.0
710682,29/08/2017,29/08/2017,916,104239,30-34,F,27,33,32,1186.0,0,0.0,1.0,0.0
710763,29/08/2017,29/08/2017,916,104252,30-34,F,15,19,17,5369.0,1,1.50999999,1.0,0.0
710836,27/08/2017,27/08/2017,916,104265,30-34,F,29,33,31,22221.0,7,9.430000067,1.0,1.0
710867,26/08/2017,26/08/2017,916,104270,30-34,F,63,64,68,1185.0,0,0.0,1.0,0.0
710880,26/08/2017,26/08/2017,916,104272,30-34,F,65,70,68,13019.0,5,6.960000038,1.0,0.0
710961,27/08/2017,27/08/2017,916,104285,35-39,F,25,29,26,2508.0,1,1.220000029,1.0,0.0
710968,27/08/2017,27/08/2017,916,104287,35-39,F,27,31,29,5864.0,2,2.799999952,1.0,1.0
711217,27/08/2017,27/08/2017,916,104328,35-39,F,20,26,23,2783.0,1,1.600000024,1.0,0.0
711623,27/08/2017,27/08/2017,916,104396,40-44,F,15,18,20,3812.0,1,1.129999995,2.0,1.0
711764,27/08/2017,27/08/2017,916,104419,45-49,F,10,16,11,11199.0,4,5.730000019,1.0,1.0
711785,26/08/2017,26/08/2017,916,104423,45-49,F,19,25,23,292.0,0,0.0,1.0,0.0
711877,26/08/2017,26/08/2017,916,104438,45-49,F,63,67,65,17572.0,7,9.379999995,1.0,0.0
712052,25/08/2017,25/08/2017,916,104467,45-49,F,10,13,11,1448.0,0,0.0,1.0,1.0
734209,25/08/2017,25/08/2017,936,108654,30-34,M,10,16,14,1772.0,0,0.0,1.0,1.0
734210,25/08/2017,25/08/2017,936,108654,30-34,M,10,16,13,13329.0,4,5.629999995,1.0,1.0
734215,26/08/2017,26/08/2017,936,108655,30-34,M,15,19,17,13659.0,3,3.840000033,1.0,0.0
734243,26/08/2017,26/08/2017,936,108660,30-34,M,21,23,24,739.0,0,0.0,1.0,1.0
734266,26/08/2017,26/08/2017,936,108664,30-34,M,25,30,27,605.0,0,0.0,1.0,0.0
734272,26/08/2017,26/08/2017,936,108665,30-34,M,26,32,29,1030.0,0,0.0,1.0,0.0
734290,26/08/2017,26/08/2017,936,108668,30-34,M,29,32,35,5374.0,1,1.039999962,4.0,0.0
734313,26/08/2017,26/08/2017,936,108672,30-34,M,36,38,38,790.0,0,0.0,1.0,1.0
734314,27/08/2017,27/08/2017,936,108672,30-34,M,36,38,38,962.0,0,0.0,1.0,0.0
734352,27/08/2017,27/08/2017,936,108678,35-39,M,10,11,16,4423.0,1,1.460000038,1.0,1.0
734361,29/08/2017,29/08/2017,936,108680,35-39,M,16,19,19,12382.0,2,2.839999914,1.0,1.0
734381,29/08/2017,29/08/2017,936,108683,35-39,M,20,25,24,2938.0,1,1.350000024,1.0,1.0
734399,28/08/2017,28/08/2017,936,108686,35-39,M,23,24,27,239.0,0,0.0,1.0,0.0
734418,29/08/2017,29/08/2017,936,108689,35-39,M,26,27,28,591.0,0,0.0,1.0,0.0
734421,29/08/2017,29/08/2017,936,108690,35-39,M,27,29,32,10332.0,4,5.75,1.0,0.0
734427,29/08/2017,29/08/2017,936,108691,35-39,M,28,29,31,8259.0,3,3.980000019,1.0,0.0
734433,29/08/2017,29/08/2017,936,108692,35-39,M,29,35,31,12158.0,3,4.449999928,1.0,0.0
734582,29/08/2017,29/08/2017,936,108716,40-44,M,29,33,33,7709.0,2,1.320000052,2.0,0.0
734605,28/08/2017,28/08/2017,936,108720,40-44,M,36,37,41,834.0,0,0.0,1.0,0.0
734660,28/08/2017,28/08/2017,936,108729,45-49,M,18,22,23,1299.0,0,0.0,2.0,0.0
734666,28/08/2017,28/08/2017,936,108730,45-49,M,19,24,20,371.0,0,0.0,1.0,0.0
734726,28/08/2017,28/08/2017,936,108740,45-49,M,29,30,35,10466.0,3,4.090000033,1.0,0.0
734737,27/08/2017,27/08/2017,936,108742,45-49,M,31,37,33,839.0,0,0.0,1.0,0.0
734785,28/08/2017,28/08/2017,936,108750,30-34,F,10,13,13,5576.0,1,1.529999971,1.0,1.0
734794,28/08/2017,28/08/2017,936,108752,30-34,F,16,19,17,4010.0,0,0.0,1.0,0.0
734796,28/08/2017,28/08/2017,936,108752,30-34,F,16,22,17,39337.0,7,10.03000009,1.0,1.0
734800,28/08/2017,28/08/2017,936,108753,30-34,F,18,20,20,1635.0,0,0.0,1.0,0.0
734803,28/08/2017,28/08/2017,936,108753,30-34,F,18,19,21,1631.0,0,0.0,1.0,0.0
734852,28/08/2017,28/08/2017,936,108761,30-34,F,26,30,29,13479.0,3,4.25,1.0,0.0
734854,19/08/2017,19/08/2017,936,108762,30-34,F,27,33,32,57022.0,13,20.29000032,3.0,3.0
734856,19/08/2017,19/08/2017,936,108762,30-34,F,27,28,32,5453.0,1,1.389999986,1.0,1.0
734866,20/08/2017,20/08/2017,936,108764,30-34,F,29,32,31,11803.0,3,4.440000057,1.0,0.0
734881,20/08/2017,20/08/2017,936,108766,30-34,F,31,32,34,4259.0,1,1.570000052,1.0,1.0
734901,20/08/2017,20/08/2017,936,108770,30-34,F,64,70,68,1554.0,0,0.0,1.0,0.0
734903,20/08/2017,20/08/2017,936,108770,30-34,F,64,69,67,5323.0,1,1.289999962,1.0,1.0
734925,20/08/2017,20/08/2017,936,108774,35-39,F,10,11,12,5024.0,1,1.409999967,1.0,1.0
734939,20/08/2017,20/08/2017,936,108776,35-39,F,16,19,22,104648.0,24,33.33000004,4.0,2.0
734968,20/08/2017,20/08/2017,936,108781,35-39,F,22,25,27,8504.0,3,3.340000093,1.0,1.0
734999,20/08/2017,20/08/2017,936,108786,35-39,F,27,32,32,20277.0,6,8.050000072,1.0,0.0
735014,19/08/2017,19/08/2017,936,108788,35-39,F,29,34,30,12403.0,4,5.210000038,1.0,1.0
735032,19/08/2017,19/08/2017,936,108791,35-39,F,32,33,34,498.0,0,0.0,1.0,1.0
735033,18/08/2017,18/08/2017,936,108792,35-39,F,36,40,40,652.0,0,0.0,0.0,0.0
735043,18/08/2017,18/08/2017,936,108793,35-39,F,63,65,69,1357.0,0,0.0,1.0,1.0
735048,18/08/2017,18/08/2017,936,108794,35-39,F,64,65,68,1393.0,0,0.0,1.0,0.0
735065,19/08/2017,19/08/2017,936,108797,40-44,F,7,10,12,648.0,0,0.0,1.0,0.0
735109,19/08/2017,19/08/2017,936,108804,40-44,F,21,26,25,708.0,0,0.0,1.0,1.0
